ID_RA;ANO;COD_NATUREZA;MES;QUANTIDADE
29;2024;11;1;0
29;2024;11;2;0
29;2024;11;3;0
29;2024;11;4;0
29;2024;11;5;0
29;2024;11;6;1
29;2024;11;7;2
29;2024;11;8;2
29;2024;11;9;1
29;2024;11;10;3
29;2024;11;11;0
29;2024;11;12;1
29;2024;32;1;4
29;2024;32;2;1
29;2024;32;3;0
29;2024;32;4;6
29;2024;32;5;5
29;2024;32;6;5
29;2024;32;7;1
29;2024;32;8;1
29;2024;32;9;1
29;2024;32;10;1
29;2024;32;11;0
29;2024;32;12;2
30;2020;1;1;3
30;2020;1;2;2
30;2020;1;3;1
30;2020;1;4;1
30;2020;1;5;1
30;2020;1;6;2
30;2020;1;7;3
30;2020;1;8;2
30;2020;1;9;1
30;2020;1;10;4
30;2020;1;11;4
30;2020;1;12;5
30;2020;2;1;48
30;2020;2;2;18
30;2020;2;3;16
30;2020;2;4;12
30;2020;2;5;14
30;2020;2;6;20
30;2020;2;7;21
30;2020;2;8;16
30;2020;2;9;24
30;2020;2;10;22
30;2020;2;11;34
30;2020;2;12;68
30;2020;23;1;105
30;2020;23;2;109
30;2020;23;3;100
30;2020;23;4;53
30;2020;23;5;55
30;2020;23;6;51
30;2020;23;7;66
30;2020;23;8;47
30;2020;23;9;59
30;2020;23;10;60
30;2020;23;11;49
30;2020;23;12;86
30;2020;7;1;1
30;2020;7;2;0
30;2020;7;3;1
30;2020;7;4;1
30;2020;7;5;1
30;2020;7;6;4
30;2020;7;7;1
30;2020;7;8;4
30;2020;7;9;1
30;2020;7;10;2
30;2020;7;11;3
30;2020;7;12;1
30;2020;27;1;0
30;2020;27;2;0
30;2020;27;3;2
30;2020;27;4;0
30;2020;27;5;0
30;2020;27;6;0
30;2020;27;7;0
30;2020;27;8;1
30;2020;27;9;0
30;2020;27;10;0
30;2020;27;11;0
30;2020;27;12;0
30;2020;28;1;0
30;2020;28;2;0
30;2020;28;3;0
30;2020;28;4;0
30;2020;28;5;0
30;2020;28;6;0
30;2020;28;7;0
30;2020;28;8;0
30;2020;28;9;0
30;2020;28;10;0
30;2020;28;11;0
30;2020;28;12;0
30;2020;29;1;42
30;2020;29;2;28
30;2020;29;3;33
30;2020;29;4;30
30;2020;29;5;29
30;2020;29;6;35
30;2020;29;7;30
30;2020;29;8;22
30;2020;29;9;20
30;2020;29;10;29
30;2020;29;11;26
30;2020;29;12;34
30;2020;30;1;4
30;2020;30;2;5
30;2020;30;3;5
30;2020;30;4;6
30;2020;30;5;2
30;2020;30;6;3
30;2020;30;7;6
30;2020;30;8;3
30;2020;30;9;4
30;2020;30;10;4
30;2020;30;11;5
30;2020;30;12;5
30;2020;3;1;175
30;2020;3;2;196
30;2020;3;3;173
30;2020;3;4;136
30;2020;3;5;151
30;2020;3;6;183
30;2020;3;7;170
30;2020;3;8;162
30;2020;3;9;161
30;2020;3;10;165
30;2020;3;11;153
30;2020;3;12;153
30;2020;8;1;31
30;2020;8;2;31
30;2020;8;3;41
30;2020;8;4;29
30;2020;8;5;17
30;2020;8;6;23
30;2020;8;7;16
30;2020;8;8;21
30;2020;8;9;19
30;2020;8;10;27
30;2020;8;11;28
30;2020;8;12;34
30;2020;4;1;0
30;2020;4;2;2
30;2020;4;3;1
30;2020;4;4;2
30;2020;4;5;6
30;2020;4;6;8
30;2020;4;7;6
30;2020;4;8;5
30;2020;4;9;3
30;2020;4;10;0
30;2020;4;11;3
30;2020;4;12;2
30;2020;31;1;23
30;2020;31;2;10
30;2020;31;3;13
30;2020;31;4;4
30;2020;31;5;5
30;2020;31;6;10
30;2020;31;7;13
30;2020;31;8;7
30;2020;31;9;3
30;2020;31;10;9
30;2020;31;11;4
30;2020;31;12;6
30;2020;6;1;4
30;2020;6;2;1
30;2020;6;3;3
30;2020;6;4;8
30;2020;6;5;3
30;2020;6;6;2
30;2020;6;7;2
30;2020;6;8;1
30;2020;6;9;0
30;2020;6;10;2
30;2020;6;11;4
30;2020;6;12;4
30;2020;13;1;4
30;2020;13;2;2
30;2020;13;3;1
30;2020;13;4;3
30;2020;13;5;6
30;2020;13;6;1
30;2020;13;7;4
30;2020;13;8;4
30;2020;13;9;4
30;2020;13;10;3
